,"Food, Food Ingredients and Beverages","Animal Feed, Feed Ingredients and Animal Nutrition",Fertilizer and Pesticide (including Organic and Bio-based Products),Agri-Aqua Machinery and Facility,Agri-Aqua Device and Diagnostic Kits,ICT (Apps and System involving IoT),New Plant Variety (Conventional),New Plant Variety (Gene-Edited and GM),New Animal Breed (Aquatic and Terrestrial),Animal Biotechnology,Natural Resource–Derived Materials
TRL 1,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept Development or Breeding objectives identified,Concept Development or Breeding objectives identified,Concept Development or Breeding objectives identified,Concept Development Completed,Material concept identified from AANR resource
,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential end-users and target markets identified,Potential end-users and target markets identified,Potential end-users and target markets identified,Potential end-users and target markets identified,Potential material properties identified
,,,,,,,,Bioinformatic Analysis of Gene Function/In-silico Studies Conducted,,,
TRL 2,Initial experiments conducted in laboratory (benchscale),Initial experiments conducted in laboratory (benchscale),Initial experiments conducted in laboratory (benchscale),Blueprint or design of the machine/facility completed,Initial prototype of device or diagnostic kit created,System design formulated,Germplasm Collected,Germplasm Collected,Parent animals with desirable traits Selected,Initial Experiments Conducted in Laboratory,Material formulation or composition defined
,First prototype/formulation created for sensory analysis,Initial formulation created,First formulation created,First prototype created,First prototype or kit tested for basic functions,Initial coding completed,"Plant genetics, traits, and breeding foundation reviewed",Marker Developed/Gene Identified,"Genetics, Lineage, and Breeding Foundation Reviewed",DNA Sequence Identification/Profiling Conducted,"Intended application identified (e.g., construction, packaging, handicrafts)"
,Internal/preliminary sensory screening conducted,Initial assessment on the potential user,Initial assessment on the potential user,Initial assessment on the potential user,Preliminary assessment of user requirements and operational feasibility,Initial assessment of potential user requirements and usability,Target traits clearly identified,"Molecular Construct Planned (CRISPR, RNAi)",Target Traits for Improvement Identified,Genetic Analytical Protocol Established,Initial laboratory scale processing method proposed
,Initial assessment on the potential user,,,,,,Breeding Planned Prepared,"Preliminary market requirements considered (relevance, consumer/end-user needs)",Preliminary assessment of market demand for target traits,Preliminary Assessment of Potential User,
,,,,,,,"Preliminary market requirements considered (trait relevance, consumer/end-user needs)",,,,
TRL 3,Optimized formulation for highest sensory acceptability,Feeding Trial Experiments with Target Animals,"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",Working prototype created,"Working prototype/device refined for usability, accuracy, and/or portability",Source code completed,Initial crosses or mutation events conducted,Genetic Modification Designs Developed (CRISPR/RNAi Constructs),"Initial crosses, selective breeding, or genetic modification conducted",Genetic Profiling Validated,Laboratory-scale sample produced
,Proximate analysis conducted to assess chemical properties,Formulation optimized based on initial results of feeding trial (check if not applicable),Formulation optimized based on initial animal response,Prototype tested for basic operational capability,"Tested for sensitivity, specificity, or measurement accuracy under lab conditions",Working system/application developed (integrated prototype),Progeny produced and screened for presence of target traits,Transformation or Gene Editing in Laboratory or Growth Chamber Conducted,Progeny produced and screened for presence of target traits,Proof of Potential Economic Viability,"Preliminary testing conducted (e.g., tensile strength, density, absorption)"
,Proof of Potential Economic Viability,Proximate Analysis Conducted,Toxicity Test Conducted,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Controlled Enviroinmental Studies (please specify),Breeding Events Documented,,Proof of Potential Economic Viability
,,,,,,,,,,,Intellectual Property (IP) Protection Initiated
,Intellectual Property (IP) Protection Initiated,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Intellectual Property (IP) Protection Initiated,Intellectual Property (IP) Protection Initiated,Intellectual Property (IP) Protection Initiated,,Institutional Biosafety Committee (IBC) Approval Initiated,Proof of Potential Economic Viability,,
,,Intellectual Property (IP) Protection Initiated,Intellectual Property (IP) Protection Initiated,,,,,Proof of Potential Economic Viability,,,
TRL 4,Product validated through target consumer sensory testing,Proximate analysis confirms nutritional adequacy,Positive experimental results on product efficacy under controlled conditions,Successfully operated under laboratory-scale or controlled conditions,Device/kit validated with positive result under laboratory or controlled field conditions,Alpha testing successfully conducted,Progeny successfully grown under controlled conditions (greenhouse/screenhouse),Edited/Modified Plant Regenerated,"Progeny raised under controlled conditions (hatchery, nursery, farm, or experimental facility)",,Repeatable laboratory-scale production achieved
,Positive proximate analysis confirmed,"Passed Toxicity Evaluation
",Passed Toxicity Evaluation,Intellectual Property (IP) Protection filed,"Analytical performance confirmed (detection limits, repeatability, or reliability)",Intellectual Property (IP) Protection filed,Target traits confirmed in progeny,"Target Traits Confirmed via Sequencing, PCR, or Marker Analysis","Target traits confirmed in progeny (growth, disease resistance, environmental tolerance)",,"Standard laboratory tests completed (e.g., ASTM/ISO-aligned methods)"
,Shelf-life established at least under laboratory conditions,Established Storage Stability,Shelf stability established,Accomplished Initial Business Model Canvas (BMC),Intellectual Property (IP) Protection filed,Accomplished Initial Business Model Canvas (BMC),Early-stage feedback from potential seed users,Preliminary Phenotyping under Greenhouse Conducted,Early-stage engagement with potential end-users for feedback,,Intellectual Property (IP) Protection filed
,Allergen profiling/screening conducted,Intellectual Property (IP) Protection filed,Intellectual Property (IP) Protection filed,Freedom to Operate (FTO) Report Prepared,Accomplished Initial Business Model Canvas (BMC),Freedom to Operate (FTO) Report Prepared,Identified Potential industry Partner for Industry Testing,Identified Potential industry Partner for Industry Testing,Identified Potential industry Partner for Industry Testing,,Accomplished Initial Business Model Canvas (BMC)
,Intellectual Property (IP) Protection filed,Accomplished Initial Business Model Canvas (BMC),Accomplished Initial Business Model Canvas (BMC),Market Research conducted,Freedom to Operate (FTO) Report Prepared,Market Research conducted,,,,,Freedom to Operate (FTO) Report Prepared
,Accomplished Initial Business Model Canvas (BMC),Freedom to Operate (FTO) Report Prepared,Freedom to Operate (FTO) Report Prepared,Identified Potential industry Partner for Industry Testing,Market Research conducted,Identified Potential industry Partner for Industry Testing,,,,,Market Research conducted
,Freedom to Operate (FTO) Report Prepared,Market Research conducted,Market Research conducted,,Identified Potential industry Partner for Industry Testing,,,,,,Identified Potential industry Partner for Industry Testing
,Market Research is conducted,Identified Potential industry Partner for Industry Testing,Identified Potential industry Partner for Industry Testing,,,,,,,,
,Identified Potential industry Partner for Industry Testing,,,,,,,,,,
TRL 5,Product formulation for scaled-up pilot production,Product formulation for scaled-up pilot production,Product formulation for scaled-up pilot production,Machine/Facility stable during pilot-scale operation,Device/kit tested under pilot-scale or semi-field conditions,Beta testing successfully conducted with select external users,"Stable and pure lines selected
",Edited/Modified Lines Evaluated in Greenhouse or Actual Field Plots,Stable lines/strain or family groups selected,,Pilot-scale material production conducted
,Pilot scale-based Manual of Production created,Pilot scale-based Manual of Production created,Pilot scale-based Manual of Production created,Manual of operation established,User Manual for device/kit established,"User feedback incorporated to improve system usability, reliability, and performance",Preliminary field trials conducted in controlled plots,Agronomic and Phenotypic Data Collected,"Preliminary field trials conducted in controlled farm/aquaculture plots
",,Performance tested under simulated or relevant conditions
,Product promotion and packaging conducted,Product promotion and packaging conducted,Product promotion and packaging conducted,Product promotion Conducted,Product promotion Conducted,User Guide/manual for system created,Field performance documentation prepared,Applied for Regulatory Status Confirmation (RSC) to Department of Agriculture-Bureau of Plant Industry (DA-BPI),"Data collected for growth, survivability, product quality, and adaptability",,Initial cost and raw material availability assessed
,Meetings with potential industry partners,Meetings with potential industry partners,Meetings with potential industry partners,Meetings with potential industry partners,Meetings with potential industry partners,Product promotion Conducted,Accomplished Initial Business Model Canvas (BMC),Procesing of DA-BPI Biosafety Permit for Confined Field Trials,Accomplished Initial Business Model Canvas (BMC),,Product promotion Conducted
,,,,,,Meetings with potential industry partners,Freedom to Operate (FTO) Report Prepared,Contained Field Trial/Confined Test for GM Crops Conducted,Freedom to Operate (FTO) Report Prepared,,Meetings with potential industry partners
,,,,,,,Market Research conducted,Accomplished Initial Business Model Canvas (BMC),Market Research conducted,,
,,,,,,,Meetings with potential industry partners,Freedom to Operate (FTO) Report Prepared,Meetings with potential industry partners,,
,,,,,,,,Market Research conducted,,,
,,,,,,,,Meetings with potential industry partners,,,
TRL 6,Product tested for scaled-up pilot production,Product tested for scaled-up pilot production,Product tested for scaled-up pilot production,Agreements with industry parters for product testing secured,Agreements with industry parters for product testing secured,Agreements with industry parters for product testing secured,Agreements with industry parters for product testing secured,Agreements with industry parters for product testing secured,Agreements with industry parters for product testing secured,,Prototype material or product fabricated
,Agreements with industry parters for product testing secured,Agreements with industry parters for product testing secured,Agreements with industry parters for product testing secured,Multi-location testing conducted,Device performance tested in multiple locations,System/application deployed for initial industry use,Multi-location trials conducted to evaluate performance across environments,Biosfatey Permit Secured,Multi-location trials conducted across diverse environmental conditions,,Agreements with industry parters for product testing secured
,First industry-scale production Initiated,First industry-scale production completed,First industry-scale production completed,Production or fabrication manual established,Production/assembly manual established for scalable manufacturing,Core system stable in limited commercial operations,Engagement with seed growers for seed multiplication tests,Multi-location Confined Field Trials Conducted,Engagement with farms/aquaculture operators for breeding and performance testing,,"Demonstrated performance in intended application (e.g., wall panel, packaging unit)"
,"Initial market tests conducted (trade shows, limited release)","Initial market tests conducted (trade shows, limited release)",Initial market tests conducted (demonstration to farmers or distributors),Preparing Requirements for Agricultural Machinery Testing and Evaluation Center (AMTEC) Certification,Technology Commercialization Plan prepared,Technology Commercialization Plan prepared,Industry feedback collected,Engagement with seed growers for seed multiplication tests,Industry feedback collected,,Preliminary user or industry feedback obtained
,Technology Commercialization Plan prepared,Technology Commercialization Plan prepared,Technology Commercialization Plan prepared,Technology Commercialization Plan prepared,IP Valuation Report Prepared,IP Valuation Report Prepared,Regulatory preparation for variety registration initiated,Industry feedback collected,Regulatory preparation for breed registration or approval initiated,,Technology Commercialization Plan prepared
,IP Valuation Report Prepared,IP Valuation Report Prepared,IP Valuation Report Prepared,IP Valuation Report Prepared,,,,Regulatory preparation for variety registration initiated,,,IP Valuation Report Prepared
TRL 7,Successful validation of industry-scale production,Successful validation of industry-scale production,Successful validation of industry-scale production,Successful industry testing and validation,Successful industry validation and replication of device/kit,System stable in industry-scale operations (Stable Release),Seed/plant materials production protocol standardized for commercial adoption,Seed/plant materials production protocol standardized for commercial adoption,Protocols standardized for propagation of new breed/strain,,"Field testing completed (e.g., construction site, packaging trial)"
,Standardized manual for industry-scale production established,Standardized manual for industry-scale production established,Standardized manual for industry-scale production established,First replication achieved,Standardized protocol/manual for industry-scale production/assembly of device/kit,Scalable architecture validated under real-world usage,Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing,Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing,Engagement with breeding partners or commercial operators,,Standardized production protocol/manual established
,Secure Letter of Intent for Licensing,Secure Letter of Intent for Licensing,Secure Letter of Intent for Licensing,Secure Letter of Intent for Licensing,Secure Letter of Intent for Licensing,Secure Letter of Intent for Licensing,"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)","Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",Processing of Requirements for Bureau of Animal Industry (BAI) or Philippine Carabao Center (PCC) or National Dairy Authority (NDA) Approval/Certification,,Submitted for applicable standards assessment
,Technology Licensing Terms Undergoing Negotiation,Technology Licensing Terms Undergoing Negotiation,Technology Licensing Terms Undergoing Negotiation,Technology Licensing Terms Undergoing Negotiation,Technology Licensing Terms Undergoing Negotiation,Technology Licensing Terms Undergoing Negotiation,Secure Letter of Intent for Licensing,Secure Letter of Intent for Licensing,Secure Letter of Intent for Licensing,,Secure Letter of Intent for Licensing
,Business Plan crafted,Business Plan crafted,Business Plan crafted,Business Plan crafted,Business Plan crafted,Business Plan crafted,Technology Licensing Terms Undergoing Negotiation,Technology Licensing Terms Undergoing Negotiation,Technology Licensing Terms Undergoing Negotiation,,Technology Licensing Terms Undergoing Negotiation
,Processing of Requirements for Food and Drug Administration (FDA) Approval/Certification,Processing of Requirements for Bureau of Animal Industry (BAI) or Food and Drug Administration (FDA) Approval/Certification,Processing of Requirements for Fertilizer and Pesticide Authority (FPA) or Bureau of Agriculture and Fisheries Standards (BAFS) Approval/Certification,,Processing of Requirements for Bureau of Animal Industry (BAI) or Bureau of Fisheries and Aquatic Resources (BFAR) or third-party Validation,"Processing of Requirements for Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification",Business Plan crafted,Business Plan crafted,Business Plan crafted,,Business Plan crafted
TRL 8,Product ready for full-scale commercial production (replicable without error),Product ready for full-scale commercial production (replicable without error),Product ready for full-scale commercial production (replicable without error),Ready for commercial-scale production (replicable/ operational without error),Device/kit ready for commercial-scale production (replicable without error),System/application ready for full-scale commercial operation (replicable without error),Stable and consistent seed/plant production at industry scale achieved,Stable and consistent seed production at industry scale achieved,Stable and consistent breeding achieved at industry scale,,Final material specification established
,FDA Approval/Certification Obtained,BAI/FDA Approval or Certification Obtained,FPA/BAFS Registered,AMTEC Certification Secured,BAI/BFAR/Third-party Validated,"Data Privacy, Cybersecurity, or applicable ICT regulations Approval/Certification Secured",Variety officially registered and released,Variety officially registered and released,BAI/PCC/NDA Approval/Certification Secured,,Regulatory or standards compliance completed
,HACCP/HALAL Certified (if Necessary/Check if not applicable),Technology Licensing Terms Negotiated,Technology Licensing Terms Negotiated,Technology Licensing Terms Negotiated,Technology Licensing Terms Negotiated,Technology Licensing Terms Negotiated,Seed/plant certification or registration obtained,Seed Certification Obtained,Technology Licensing Terms Negotiated,,Scaled-up production process validated
,Technology Licensing Terms Negotiated,Fairness Opinion Review requested,Fairness Opinion Review requested,Fairness Opinion Review requested,Fairness Opinion Review requested,Fairness Opinion Review requested,Technology Licensing Terms Negotiated,Technology Licensing Terms Negotiated,Fairness Opinion Review requested,,Technology Licensing Terms Negotiated
,Fairness Opinion Review requested,,,,,,Fairness Opinion Review requested,Fairness Opinion Review requested,,,Fairness Opinion Review requested
TRL 9,Technology Licensing Agreement signed,Technology Licensing Agreement signed,Technology Licensing Agreement signed,Technology Licensing Agreement signed,Technology Licensing Agreement signed,Technology Licensing Agreement signed,Technology Licensing Agreement signed,Technology Licensing Agreement signed,Technology Licensing Agreement signed,,Technology Licensing Agreement signed
,Technology fully commercialized/Product commercially available to consumers,Technology fully commercialized/Product commercially available to target users,Technology fully commercialized/Product commercially available to target users,Technology fully commercialized/Machine or facility commercially available to target users,Technology fully commercialized/Device or kit commercially available to target users,System/application fully commercialized and available to target users,New plant variety fully commercialized/Variety commercially available to target users,New plant variety fully commercialized/Variety commercially available to target users,New animal breed fully commercialized/Breed commercially available to target users,,Material commercially produced/Commercially available to target users
